時間,現地気圧,海面気圧,降水量,気温,露点温度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪,天気,雲量,視程,日付
10,1021.0,1023.9,0,15.0,6.1,9.4,55,3.1,北北西,0.6,1.31,,,0,0.0,0.0,2022-11-07 01:00:00
11,1020.5,1023.4,0,15.5,6.8,9.9,56,2.8,北西,0.3,1.24,,,0,0.0,0.0,2022-11-07 02:00:00
12,1019.1,1022.0,0,16.5,7.4,10.3,55,1.0,北,0.0,1.09,,,0,9.5,15.0,2022-11-07 03:00:00
13,1018.5,1021.4,0,16.8,7.2,10.1,53,1.2,西,0.0,0.92,,,0,0.0,0.0,2022-11-07 04:00:00
14,1017.3,1020.2,0,17.7,7.5,10.3,51,1.9,北東,0.2,1.11,,,0,0.0,0.0,2022-11-07 05:00:00
15,1017.2,1020.1,0,17.1,9.3,11.7,60,1.8,南,0.8,1.18,,,0,7.0,25.0,2022-11-07 06:00:00
16,1017.0,1019.9,0,17.0,9.4,11.8,61,2.2,南南東,0.6,0.54,,,0,0.0,0.0,2022-11-07 07:00:00
17,1016.8,1019.7,0,14.8,9.8,12.1,72,3.0,南南東,0.1,0.08,,,0,0.0,0.0,2022-11-07 08:00:00
18,1017.2,1020.1,0,14.4,10.2,12.5,76,1.8,南,0.0,0.0,,,0,1.0,25.0,2022-11-07 09:00:00
19,1017.4,1020.3,0,13.7,10.5,12.7,81,0.7,西北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 10:00:00
20,1017.0,1019.9,0,14.0,11.0,13.1,82,1.8,西北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 11:00:00
21,1016.7,1019.6,0,12.7,10.4,12.6,86,0.6,南南西,0.0,0.0,,,0,4.0,20.0,2022-11-07 12:00:00
22,1016.9,1019.8,0,14.4,10.2,12.5,76,1.3,西北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 13:00:00
23,1016.2,1019.1,0,14.1,10.7,12.9,80,1.8,北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 14:00:00
24,1015.8,1018.7,0,14.4,10.8,13.0,79,2.7,西北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 15:00:00
1,1015.5,1018.4,0,14.0,9.9,12.1,76,1.1,北北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 16:00:00
2,1015.2,1018.1,0,13.9,9.6,11.9,75,1.0,北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 17:00:00
3,1014.7,1017.6,0,14.1,9.1,11.6,72,2.3,北西,0.0,0.0,,,0,9.5,15.0,2022-11-07 18:00:00
4,1014.7,1017.6,0,12.6,8.7,11.2,77,1.8,北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 19:00:00
5,1014.9,1017.8,0,11.7,9.1,11.5,84,2.3,北西,0.0,0.0,,,0,0.0,0.0,2022-11-07 20:00:00
6,1015.1,1018.0,0,11.5,8.5,11.1,82,1.9,北,0.0,0.0,,,0,0.5,25.0,2022-11-07 21:00:00
7,1015.4,1018.3,0,12.4,8.9,11.4,79,1.9,北北東,0.0,0.06,,,0,0.0,0.0,2022-11-07 22:00:00
8,1015.8,1018.7,0,13.2,8.5,11.1,73,2.0,北,1.0,0.71,,,0,0.0,0.0,2022-11-07 23:00:00
